"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour","week_day"
"11","Fuera CETRAM","male","25-44","Preparatoria","Azcapotzalco","Tlalnepantla de Baz","None","Compra","3",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",513,"6",61,0,-21,"14","5"
"12","Fuera CETRAM","male","25-44","Secundaria","Atizapan de Zaragoza","Cuauhtemoc","None","Recreacion","4",3,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",425,"3",55,3,-20,"13","5"
"13","Fuera CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Tecamec","None","Trabajo","1",1,"4","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",500,"2",45,0,-5,"14","5"
"14","Fuera CETRAM","female","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Trabajo","1",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",500,"2",45,0,-5,"14","5"
"15","Fuera CETRAM","female","45-64","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Trabajo","2",3,"5","Trolebus","Peseros","Bus","El Rosario","Mexico Nueva","35",503,"2",45,0,-5,"14","5"
"16","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Recreacion","2",3,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",551,"6",45,0,-5,"14","5"
"17","Fuera CETRAM","female","25-44","Maestria y Doctorado","Nicolas Romero","Tlalnepantla de Baz","None","Estudio","1",3,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",461,"4",38,8,-3,"18","2"
"18","Fuera CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Azcapotzalco","None","Trabajo","3",2,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",433,"3",38,8,-3,"18","2"
"19","Fuera CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","2",2,"3","BRT","Taxi","Van","Azteca","Mexipuerto","15",950,"6",18,4,-3,"14","3"
"20","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","3 to 4","Compra","1",3,"5","Trolebus","Peseros","Van","Azteca","Heroes Tecamec","15",903,"6",18,8,-3,"17","2"
"21","Fuera CETRAM","female","45-64","Preparatoria","Nicolas Romero","Azcapotzalco","None","Trabajo","3",4,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",633,"2",13,4,-3,"14","4"
"22","Fuera CETRAM","male","25-44","Preparatoria","Tlalnepantla de Baz","Naucalpan de Juarez","None","Trabajo","1",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",631,"2",13,4,-3,"14","4"
"23","Fuera CETRAM","male","25-44","Secundaria","Naucalpan de Juarez","Naucalpan de Juarez","None","Trabajo","5",4,"4","Metro","Metro","Van","El Rosario","El Rosario","15",686,"2",13,4,-3,"14","4"
"25","Fuera CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Trabajo","2",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1031,"2",17,4,-2,"13","3"
"26","Dentro CETRAM","female","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Estudio","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",555,"5",16,2,-1,"16","7"
"27","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","Metro","BRT","Van","Azteca","Mexipuerto","15",869,"6",16,5,-1,"18","4"
"28","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","3 to 4","Recreacion","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",833,"6",16,5,-1,"18","4"
"29","Dentro CETRAM","male","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","None","Recreacion","4",4,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",913,"5",16,10,-1,"14","1"
"30","Dentro CETRAM","male","18-24","Licenciatura","Ecatepec de Morelos","Chimalhuacan","None","Trabajo","3",2,"2","Metro","Trolebus","Van","Azteca","Mexipuerto","15",1058,"0",16,0,-1,"19","4"
"32","Dentro CETRAM","male","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","1 to 2","Otro","1",5,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",988,"2",16,10,-1,"14","1"
"33","Fuera CETRAM","female","45-64","Primaria","Nicolas Romero","Nicolas Romero","1 to 2","Trabajo","4",1,"5","Peseros","BRT","Bus","El Rosario","Mexico Nueva","35",825,"6",30,13,0,"17","4"
"34","Dentro CETRAM","female","25-44","Primaria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",4,"5","BRT","Metro","Van","Azteca","Heroes Tecamec","15",870,"6",15,9,0,"17","3"
"35","Dentro CETRAM","female","18-24","Preparatoria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Otro","3",3,"5","Taxi","Trolebus","Van","El Rosario","Mexico Nueva","15",588,"2",15,2,0,"16","7"
"36","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",847,"6",15,9,0,"17","3"
"37","Dentro CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",1,"4","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",636,"5",15,8,0,"13","1"
"38","Dentro CETRAM","male","45-64","Secundaria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",909,"2",15,3,0,"17","7"
"39","Dentro CETRAM","male","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Trabajo","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",624,"5",15,7,0,"13","6"
"40","Dentro CETRAM","male","65+","Sin estudios","Ecatepec de Morelos","Tecamec","1 to 2","Compra","1",1,"5","BRT","Metro","Van","Azteca","Heroes Tecamec","15",793,"5",15,9,0,"17","3"
"41","Fuera CETRAM","female","25-44","Licenciatura","Nicolas Romero","Tlalnepantla de Baz","None","Trabajo","2",4,"5","Peseros","Metro","Van","El Rosario","El Rosario","15",799,"6",10,4,0,"14","4"
"42","Fuera CETRAM","female","65+","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Recreacion","5",5,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",724,"2",10,4,0,"14","4"
"43","Fuera CETRAM","male","45-64","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","1",1,"5","Trolebus","Peseros","Van","El Rosario","El Rosario","15",755,"6",10,4,0,"14","4"
"44","Dentro CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","1",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",962,"2",0,0,0,"13","6"
"45","Dentro CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Compra","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",304,"1",0,0,0,"14","3"
"46","Fuera CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",369,"6",0,0,0,"17","5"
"47","Fuera CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Nicolas Romero","None","Otro","5",3,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",762,"6",0,0,0,"13","4"
"48","Dentro CETRAM","female","25-44","Secundaria","Tecamec","Tecamec","None","Trabajo","5",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",1007,"2",0,0,0,"13","5"
"49","Fuera CETRAM","female","0-17","Preparatoria","Azcapotzalco","Tlalnepantla de Baz","None","Estudio","2",4,"5","Metro","BRT","Bus","El Rosario","Mexico Nueva","35",307,"2",0,0,0,"16","6"
"51","Fuera CETRAM","female","25-44","Primaria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","4",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",185,"1",0,0,0,"17","7"
"52","Dentro CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Tecamec","None","Trabajo","1",1,"4","BRT","Peseros","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"18","6"
"53","Fuera CETRAM","female","25-44","Preparatoria","Cuauhtemoc","Tecamec","None","Compra","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",476,"9",0,0,0,"13","2"
"54","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",4,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",621,"2",0,0,0,"18","4"
"55","Fuera CETRAM","female","25-44","Licenciatura","Miguel Hidalgo","Atizapan de Zaragoza","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",780,"0",0,0,0,"17","7"
"56","Fuera CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",406,"2",0,0,0,"17","2"
"57","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",177,"1",0,0,0,"19","7"
"58","Fuera CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",2,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",408,"9",0,0,0,"12","5"
"59","Dentro CETRAM","female","18-24","Licenciatura","Zumpango","Atizapan de Zaragoza","None","Trabajo","3",4,"4","Trolebus","Taxi","Van","El Rosario","Mexico Nueva","15",744,"6",0,0,0,"12","5"
"60","Dentro CETRAM","female","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","1 to 2","Compra","3",1,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",320,"2",0,0,0,"14","1"
"61","Fuera CETRAM","female","0-17","Secundaria","Coacalco de Berriozal","Ecatepec de Morelos","1 to 2","Otro","1",1,"5","Taxi","Metro","Van","Azteca","Mexipuerto","15",1039,"2",0,0,0,"17","5"
"62","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",489,"9",0,0,0,"12","3"
"63","Fuera CETRAM","female","45-64","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",390,"2",0,0,0,"12","6"
"64","Fuera CETRAM","female","25-44","Preparatoria","Tlalpan","Atizapan de Zaragoza","1 to 2","Recreacion","1",3,"5","BRT","Trolebus","Van","El Rosario","El Rosario","15",525,"6",0,0,0,"13","4"
"65","Dentro CETRAM","female","25-44","Preparatoria","Otro","Atizapan de Zaragoza","None","Otro","3",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",442,"2",0,0,0,"16","4"
"66","Dentro CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","3",4,"5","Taxi","Metro","Van","Azteca","Heroes Tecamec","15",414,"2",0,0,0,"13","6"
"68","Fuera CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","3",3,"5","Metro","Peseros","Bus","El Rosario","Tacuba","35",746,"2",0,0,0,"14","4"
"70","Dentro CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",669,"5",0,0,0,"15","4"
"71","Dentro CETRAM","female","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","2",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",511,"9",0,0,0,"18","6"
"72","Fuera CETRAM","female","25-44","Primaria","Acolman","Ecatepec de Morelos","1 to 2","Trabajo","5",3,"5","BRT","Taxi","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"14","5"
"73","Fuera CETRAM","female","25-44","Preparatoria","Cuauhtemoc","Tecamec","None","Compra","1",1,"5","Metro","Peseros","Bus","El Rosario","Tacuba","35",713,"2",0,0,0,"14","4"
"75","Dentro CETRAM","female","25-44","Secundaria","Otro","Azcapotzalco","3 to 4","Recreacion","4",3,"5","BRT","Metro","Van","El Rosario","El Rosario","15",144,"1",0,0,0,"18","3"
"76","Fuera CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Compra","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",490,"9",0,0,0,"13","2"
"77","Fuera CETRAM","female","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","None","Recreacion","4",4,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",128,"1",0,0,0,"17","7"
"78","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Recreacion","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1028,"2",0,0,0,"17","6"
"79","Dentro CETRAM","female","0-17","Preparatoria","Ecatepec de Morelos","Tecamec","None","Otro","4",1,"5","Peseros","Taxi","Van","Azteca","Heroes Tecamec","15",1056,"0",0,0,0,"13","6"
"80","Dentro CETRAM","female","0-17","Secundaria","Miguel Hidalgo","Cuauhtemoc","None","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",161,"1",0,0,0,"18","3"
"81","Fuera CETRAM","female","45-64","Primaria","Ecatepec de Morelos","Ecatepec de Morelos","Mas","Trabajo","3",2,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",694,"2",0,0,0,"18","2"
"82","Fuera CETRAM","female","45-64","Secundaria","Miguel Hidalgo","Atizapan de Zaragoza","1 to 2","Otro","2",4,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",598,"2",0,0,0,"12","2"
"84","Dentro CETRAM","female","0-17","Preparatoria","Atizapan de Zaragoza","Cuautitlan Izcalli","Mas","Compra","3",1,"5","BRT","Metro","Van","El Rosario","El Rosario","15",169,"1",0,0,0,"18","3"
"85","Dentro CETRAM","female","45-64","Secundaria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",699,"2",0,0,0,"16","3"
"86","Dentro CETRAM","female","25-44","Primaria","Tecamec","Cuauhtemoc","1 to 2","Recreacion","3",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",997,"2",0,0,0,"14","1"
"87","Dentro CETRAM","female","65+","Sin estudios","Tecamec","Cuauhtemoc","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",304,"1",0,0,0,"13","3"
"88","Dentro CETRAM","female","18-24","Secundaria","Azcapotzalco","Azcapotzalco","None","Compra","3",5,"5","BRT","Peseros","Van","El Rosario","El Rosario","15",144,"1",0,0,0,"18","3"
"90","Dentro CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","3",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",415,"2",0,0,0,"13","2"
"91","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","3",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",812,"5",0,0,0,"18","6"
"92","Dentro CETRAM","female","25-44","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","1",3,"5","BRT","Taxi","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"18","6"
"93","Dentro CETRAM","female","18-24","Primaria","Atenco","Atizapan de Zaragoza","1 to 2","Estudio","3",4,"4","BRT","Metro","Van","El Rosario","Mexico Nueva","15",710,"2",0,0,0,"13","5"
"94","Dentro CETRAM","female","25-44","Secundaria","Tecamec","Tecamec","1 to 2","Trabajo","2",1,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",1008,"2",0,0,0,"16","1"
"95","Dentro CETRAM","female","45-64","Preparatoria","Tecamec","Cuauhtemoc","1 to 2","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",975,"2",0,0,0,"14","6"
"96","Fuera CETRAM","female","18-24","Licenciatura","Cuautitlan","Azcapotzalco","3 to 4","Estudio","1",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",193,"1",0,0,0,"14","2"
"97","Dentro CETRAM","female","18-24","Licenciatura","Naucalpan de Juarez","Azcapotzalco","None","Estudio","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",149,"1",0,0,0,"18","3"
"98","Dentro CETRAM","female","0-17","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","3",4,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",664,"5",0,0,0,"15","1"
"99","Fuera CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Nezahualcoyotl","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",623,"7",0,0,0,"18","2"
"100","Fuera CETRAM","female","0-17","Preparatoria","Coacalco de Berriozal","Ecatepec de Morelos","1 to 2","Otro","3",3,"5","Metro","BRT","Van","Azteca","Mexipuerto","15",1038,"2",0,0,0,"17","5"
"101","Dentro CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","3 to 4","Recreacion","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",409,"2",0,0,0,"15","1"
"102","Fuera CETRAM","female","0-17","Secundaria","Iztacalco","Atizapan de Zaragoza","1 to 2","Recreacion","1",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",766,"6",0,0,0,"17","7"
"103","Dentro CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Compra","4",1,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",2,"1",0,0,0,"13","6"
"104","Fuera CETRAM","female","25-44","Secundaria","Tecamec","Ecatepec de Morelos","None","Compra","3",3,"5","Peseros","Peseros","Van","Azteca","Mexipuerto","15",999,"6",0,0,0,"17","4"
"105","Dentro CETRAM","female","45-64","Primaria","Tecamec","Ecatepec de Morelos","1 to 2","Compra","3",1,"5","BRT","Metro","Van","Azteca","Mexipuerto","15",1056,"0",0,0,0,"14","6"
"106","Fuera CETRAM","female","18-24","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","3",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",325,"2",0,0,0,"17","2"
"107","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",1057,"0",0,0,0,"18","6"
"108","Dentro CETRAM","female","45-64","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",674,"6",0,0,0,"16","3"
"109","Fuera CETRAM","female","0-17","Primaria","Nezahualcoyotl","Tecamec","1 to 2","Otro","2",2,"2","Taxi","Peseros","Van","Azteca","Mexipuerto","15",389,"2",0,0,0,"17","5"
"110","Fuera CETRAM","female","45-64","Secundaria","Iztapalapa","Temamatla","1 to 2","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",862,"6",0,0,0,"13","2"
"111","Fuera CETRAM","female","45-64","Licenciatura","Nezahualcoyotl","Ecatepec de Morelos","None","Trabajo","1",1,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",434,"9",0,0,0,"16","5"
"112","Dentro CETRAM","female","25-44","Licenciatura","Azcapotzalco","Cuauhtemoc","1 to 2","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",318,"2",0,0,0,"14","1"
"114","Fuera CETRAM","female","18-24","Licenciatura","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",522,"6",0,0,0,"12","2"
"115","Fuera CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Tecamec","None","Otro","3",1,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",1057,"0",0,0,0,"12","5"
"116","Dentro CETRAM","female","25-44","Preparatoria","Venustiano Carranza","Otro","None","Trabajo","4",4,"4","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",655,"6",0,0,0,"17","4"
"117","Fuera CETRAM","female","18-24","Preparatoria","Tlalnepantla de Baz","Tecamec","None","Trabajo","2",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",532,"6",0,0,0,"18","4"
"118","Fuera CETRAM","female","65+","Primaria","Cuauhtemoc","Atizapan de Zaragoza","None","Compra","1",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",727,"2",0,0,0,"17","7"
"119","Fuera CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Tecamec","None","Recreacion","1",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",494,"5",0,0,0,"12","6"
"120","Dentro CETRAM","female","0-17","Preparatoria","Tecamec","Tecamec","3 to 4","Compra","1",3,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",1006,"2",0,0,0,"14","5"
"122","Dentro CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",458,"9",0,0,0,"13","2"
"123","Dentro CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","4",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",681,"5",0,0,0,"13","2"
"124","Fuera CETRAM","female","25-44","Licenciatura","Ecatepec de Morelos","Tecamec","None","Compra","1",1,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",582,"9",0,0,0,"13","2"
"125","Dentro CETRAM","female","45-64","Secundaria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","1",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",249,"1",0,0,0,"16","3"
"126","Fuera CETRAM","female","25-44","Licenciatura","Iztacalco","Atizapan de Zaragoza","1 to 2","Recreacion","1",1,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",805,"6",0,0,0,"17","7"
"127","Fuera CETRAM","female","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","None","Trabajo","5",5,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",189,"1",0,0,0,"19","7"
"128","Fuera CETRAM","female","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","3",5,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",315,"6",0,0,0,"16","6"
"129","Dentro CETRAM","female","65+","Preparatoria","Azcapotzalco","Naucalpan de Juarez","3 to 4","Recreacion","2",2,"5","Trolebus","Peseros","Van","El Rosario","El Rosario","15",333,"2",0,0,0,"15","1"
"130","Fuera CETRAM","female","25-44","Licenciatura","Nicolas Romero","Azcapotzalco","None","Trabajo","1",1,"5","Trolebus","Peseros","Bus","El Rosario","Tacuba","35",850,"5",0,0,0,"14","4"
"131","Dentro CETRAM","female","25-44","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","4",4,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",249,"1",0,0,0,"16","3"
"132","Dentro CETRAM","female","25-44","Preparatoria","Atizapan de Zaragoza","Chalco","1 to 2","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",641,"2",0,0,0,"18","7"
"133","Fuera CETRAM","female","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","None","Estudio","4",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",172,"1",0,0,0,"19","7"
"134","Fuera CETRAM","female","18-24","Licenciatura","Otro","Ecatepec de Morelos","None","Trabajo","1",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",788,"2",0,0,0,"14","2"
"135","Fuera CETRAM","female","25-44","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Recreacion","4",4,"5","Metro","Taxi","Bus","El Rosario","Mexico Nueva","35",673,"6",0,0,0,"17","7"
"136","Fuera CETRAM","female","65+","Licenciatura","Miguel Hidalgo","Atizapan de Zaragoza","1 to 2","Otro","3",1,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",474,"4",0,0,0,"13","4"
"137","Dentro CETRAM","female","45-64","Licenciatura","Coyoacan","Atizapan de Zaragoza","1 to 2","Otro","5",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",547,"7",0,0,0,"16","4"
