"","inside_or_outside","gender","age","education","origin","destination","companions","trip_purpose","mode_security","point_security","importance_safety","most_safe","least_safe","bus_or_ped","base_study_zone","busdestination","total_seats","haversine","urban_typology","total_passenger_count","total_female_count","empty_seats","hour_sin","hour_cos","week_day","latitude","longitude"
"548","Dentro CETRAM","female","25-44","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Compra","4",4,"5","Metro","Taxi","Van","El Rosario","El Rosario","15",7.88004794948464,"5",10,7,5,-0.965926,0.258819,"6",19.55708,-99.25038
"330","Fuera CETRAM","male","18-24","Licenciatura","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Estudio","3",5,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",5.79563310217675,"6",0,0,0,-0.258819,-0.965926,"2",19.54572,-99.23381
"458","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","1 to 2","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",8.90845715525753,"6",13,8,2,-0.258819,-0.965926,"2",19.61394,-99.03894
"794","Dentro CETRAM","male","45-64","Maestria y Doctorado","Atizapan de Zaragoza","Benito Juarez","None","Trabajo","3",3,"5","BRT","Taxi","Van","El Rosario","El Rosario","15",4.50383112066689,"2",3,3,12,-0.500000,-0.866025,"2",19.536,-99.22698
"683","Dentro CETRAM","female","25-44","Secundaria","Tecamec","Ecatepec de Morelos","None","Trabajo","3",1,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",10.2692450411693,"2",6,3,9,-0.500000,-0.866025,"5",19.62678,-99.02234
"351","Dentro CETRAM","male","18-24","Preparatoria","Venustiano Carranza","Atizapan de Zaragoza","None","Trabajo","3",4,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",0.102159713530856,"1",0,0,0,-0.866025,-0.500000,"3",19.50488,-99.20086
"851","Fuera CETRAM","female","45-64","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","1 to 2","Compra","1",3,"5","Metro","BRT","Bus","El Rosario","Mexico Nueva","35",2.29431495137812,"2",19,8,16,-0.965926,-0.258819,"7",19.51532,-99.21861
"331","Dentro CETRAM","male","0-17","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Recreacion","3",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",21.2052610892275,"0",0,0,0,-0.258819,-0.965926,"6",19.4421,-99.20442
"254","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Recreacion","1",1,"5","Metro","Taxi","Van","Azteca","Mexipuerto","15",9.00973340284997,"5",0,0,0,-0.500000,-0.866025,"5",19.61337,-99.04744
"282","Fuera CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",9.11113727524284,"5",0,0,0,-0.500000,-0.866025,"2",19.61278,-99.05337
"123","Dentro CETRAM","female","0-17","Secundaria","Ecatepec de Morelos","Tecamec","1 to 2","Recreacion","4",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",3.85695017654027,"5",0,0,0,-0.258819,-0.965926,"2",19.56453,-99.04601
"815","Fuera CETRAM","male","25-44","Preparatoria","Gustavo A. Madero","Atizapan de Zaragoza","1 to 2","Trabajo","4",1,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",3.56027473721964,"6",17,8,13,-0.500000,-0.866025,"7",19.52481,-99.22623
"813","Fuera CETRAM","male","45-64","Preparatoria","Azcapotzalco","Nicolas Romero","None","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",3.5085150590248,"6",17,9,13,-0.965926,-0.258819,"4",19.52623,-99.22424
"930","Fuera CETRAM","female","25-44","Secundaria","Nicolas Romero","Azcapotzalco","1 to 2","Compra","3",4,"5","Trolebus","Peseros","Bus","El Rosario","Mexico Nueva","35",6.8688572631341,"6",13,6,22,-1.000000,-0.000000,"5",19.55257,-99.24113
"305","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","None","Estudio","4",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.094770002588306,"1",0,0,0,-0.965926,-0.258819,"7",19.50499,-99.20071
"971","Fuera CETRAM","male","18-24","Secundaria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","1",5,"5","Trolebus","Peseros","Bus","El Rosario","Mexico Nueva","35",0.830051020355777,"4",16,0,29,-0.258819,-0.965926,"4",19.50571,-99.20779
"916","Fuera CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.486782261690335,"3",19,8,21,-0.500000,-0.866025,"3",19.50328,-99.20444
"56","Fuera CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Tecamec","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.362395816470435,"2",0,0,0,-0.965926,-0.258819,"2",19.53627,-99.02455
"914","Fuera CETRAM","male","65+","Primaria","Tlalnepantla de Baz","Atizapan de Zaragoza","1 to 2","Otro","3",4,"5","Metro","Taxi","Bus","El Rosario","Mexico Nueva","35",0.0825128108513757,"1",10,2,20,-1.000000,-0.000000,"1",19.50486,-99.20066
"216","Fuera CETRAM","female","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Otro","5",4,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.967171275376085,"9",0,0,0,0.000000,-1.000000,"6",19.54098,-99.03371
"379","Fuera CETRAM","male","45-64","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Compra","2",4,"5","BRT","Taxi","Bus","El Rosario","Mexico Nueva","35",0.0747537085153271,"1",0,0,0,-0.866025,-0.500000,"6",19.50485,-99.20058
"961","Fuera CETRAM","male","25-44","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Trabajo","1",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",3.94000605825096,"2",7,0,28,-0.258819,-0.965926,"6",19.53106,-99.22485
"193","Dentro CETRAM","female","45-64","Licenciatura","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","1",1,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",4.73063690067893,"5",0,0,0,-0.707107,-0.707107,"4",19.57457,-99.04282
"272","Dentro CETRAM","male","45-64","Secundaria","Coyoacan","Atizapan de Zaragoza","1 to 2","Otro","5",5,"5","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",1.58902565239212,"2",0,0,0,-0.866025,-0.500000,"4",19.51346,-99.21178
"318","Fuera CETRAM","male","25-44","Primaria","Nicolas Romero","Tlalnepantla de Baz","None","Trabajo","3",3,"5","Taxi","Peseros","Bus","El Rosario","Tacuba","35",5.30976855293517,"2",0,0,0,-0.500000,-0.866025,"4",19.53876,-99.23526
"603","Dentro CETRAM","male","18-24","Licenciatura","Coyoacan","Azcapotzalco","1 to 2","Trabajo","3",1,"5","Peseros","Peseros","Van","El Rosario","El Rosario","15",6.96531395090917,"0",9,3,6,-0.500000,-0.866025,"4",19.44199,-99.20441
"382","Fuera CETRAM","male","25-44","Licenciatura","Azcapotzalco","Tlalnepantla de Baz","None","Trabajo","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",18.9830827764058,"7",0,0,0,-0.965926,-0.258819,"5",19.52441,-99.20831
"225","Fuera CETRAM","female","45-64","Primaria","Ecatepec de Morelos","Coacalco de Berriozal","None","Otro","1",2,"5","Metro","Taxi","Van","Azteca","Heroes Tecamec","15",2.34206484341372,"9",0,0,0,-0.866025,-0.500000,"5",19.54837,-99.04436
"762","Fuera CETRAM","female","18-24","Preparatoria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Estudio","2",3,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",0.346931213563102,"3",28,6,12,-0.258819,-0.965926,"3",19.50338,-99.20307
"629","Dentro CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","1 to 2","Recreacion","3",2,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",1.68073416280216,"6",8,4,7,-0.965926,-0.258819,"7",19.51257,-99.21353
"528","Dentro CETRAM","male","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","None","Trabajo","2",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",6.85918302844778,"5",11,0,4,-1.000000,-0.000000,"4",19.59544,-99.038
"935","Fuera CETRAM","male","25-44","Preparatoria","Atizapan de Zaragoza","Cuajimalpa de Morelos","1 to 2","Trabajo","3",4,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",4.53881532916107,"6",7,3,23,-0.965926,-0.258819,"2",19.53961,-99.22205
"292","Fuera CETRAM","male","45-64","Secundaria","Tecamec","Tecamec","None","Compra","3",3,"5","BRT","Peseros","Van","Azteca","Heroes Tecamec","15",10.0435860534453,"2",0,0,0,-0.258819,-0.965926,"2",19.62477,-99.0228
"259","Fuera CETRAM","female","25-44","Secundaria","Atizapan de Zaragoza","Tlalnepantla de Baz","1 to 2","Otro","3",3,"5","BRT","Peseros","Bus","El Rosario","El Rosario","35",5.79563310217675,"6",0,0,0,-0.258819,-0.965926,"2",19.54572,-99.23381
"87","Dentro CETRAM","female","65+","Sin estudios","Tecamec","Cuauhtemoc","None","Otro","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",0.136772705845805,"1",0,0,0,-0.258819,-0.965926,"3",19.53334,-99.02728
"841","Dentro CETRAM","male","65+","Secundaria","Azcapotzalco","Atizapan de Zaragoza","1 to 2","Compra","2",2,"5","Taxi","Peseros","Van","El Rosario","El Rosario","15",0.0810517275717224,"1",6,3,14,-0.258819,-0.965926,"1",19.50485,-99.20065
"580","Dentro CETRAM","female","25-44","Secundaria","Azcapotzalco","Atizapan de Zaragoza","3 to 4","Compra","3",4,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",6.90265437796694,"6",9,5,6,-0.258819,-0.965926,"3",19.5523,-99.24199
"17","Fuera CETRAM","female","25-44","Maestria y Doctorado","Nicolas Romero","Tlalnepantla de Baz","None","Estudio","1",3,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",0.891560251281789,"4",0,0,0,-1.000000,-0.000000,"2",19.50619,-99.20829
"114","Fuera CETRAM","female","18-24","Licenciatura","Tlalnepantla de Baz","Tlalnepantla de Baz","None","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",1.72236514650122,"6",0,0,0,0.000000,-1.000000,"2",19.51252,-99.21403
"957","Fuera CETRAM","female","25-44","Secundaria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","2",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",2.398969201171,"2",7,0,28,-0.258819,-0.965926,"6",19.51589,-99.21941
"80","Dentro CETRAM","female","0-17","Secundaria","Miguel Hidalgo","Cuauhtemoc","None","Recreacion","4",4,"5","Metro","Peseros","Van","El Rosario","El Rosario","15",0.0898753210472166,"1",0,0,0,-1.000000,-0.000000,"3",19.50494,-99.20069
"665","Fuera CETRAM","female","18-24","Licenciatura","Tlalnepantla de Baz","Azcapotzalco","None","Recreacion","2",2,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",2.02543277458187,"5",26,6,9,-1.000000,-0.000000,"2",19.51378,-99.2166
"917","Fuera CETRAM","female","45-64","Secundaria","Tlalnepantla de Baz","Azcapotzalco","None","Trabajo","1",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.486782261690335,"3",19,8,21,-0.500000,-0.866025,"3",19.50328,-99.20444
"108","Dentro CETRAM","female","45-64","Licenciatura","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",3,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",3.79299205048736,"6",0,0,0,-0.866025,-0.500000,"3",19.53101,-99.22274
"344","Fuera CETRAM","male","45-64","Secundaria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","4",5,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",0.0747537085153271,"1",0,0,0,-0.866025,-0.500000,"6",19.50485,-99.20058
"361","Fuera CETRAM","male","45-64","Preparatoria","Cuauhtemoc","Atizapan de Zaragoza","1 to 2","Compra","1",3,"5","Taxi","BRT","Bus","El Rosario","Mexico Nueva","35",1.65375122586693,"6",0,0,0,-0.965926,-0.258819,"7",19.51297,-99.21294
"448","Fuera CETRAM","female","18-24","Preparatoria","Atizapan de Zaragoza","Nicolas Romero","1 to 2","Recreacion","1",2,"5","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",6.09900943251445,"6",28,14,2,-0.965926,-0.258819,"4",19.54757,-99.236
"456","Dentro CETRAM","female","18-24","Preparatoria","Miguel Hidalgo","Atizapan de Zaragoza","1 to 2","Recreacion","2",3,"4","Metro","Peseros","Van","El Rosario","Mexico Nueva","15",1.20913029231418,"4",13,0,2,-0.965926,-0.258819,"6",19.5101,-99.20986
"612","Dentro CETRAM","female","25-44","Licenciatura","Tecamec","Ecatepec de Morelos","None","Trabajo","1",1,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",8.92291031903387,"6",8,4,7,-1.000000,-0.000000,"3",19.61413,-99.03847
"211","Dentro CETRAM","female","0-17","Preparatoria","Gustavo A. Madero","Tecamec","1 to 2","Recreacion","3",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.369992422231147,"2",0,0,0,-0.866025,-0.500000,"4",19.53598,-99.0243
"427","Fuera CETRAM","male","0-17","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","4",4,"3","Metro","Peseros","Van","Azteca","Mexipuerto","15",21.2102825961171,"0",0,0,0,-0.500000,-0.866025,"5",19.44199,-99.20441
"131","Dentro CETRAM","female","25-44","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","4",4,"5","Metro","Taxi","Van","El Rosario","Mexico Nueva","15",0.102159713530856,"1",0,0,0,-0.866025,-0.500000,"3",19.50488,-99.20086
"356","Fuera CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Tecamec","None","Trabajo","3",2,"5","Taxi","Trolebus","Van","Azteca","Mexipuerto","15",0.235288800519195,"2",0,0,0,-0.965926,-0.258819,"5",19.53636,-99.02632
"264","Fuera CETRAM","male","45-64","Secundaria","Alvaro Obregon","Atizapan de Zaragoza","None","Trabajo","1",1,"4","Metro","Peseros","Bus","El Rosario","Mexico Nueva","35",0.829568844588711,"4",0,0,0,-0.965926,-0.258819,"2",19.50574,-99.20778
"291","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Miguel Hidalgo","None","Trabajo","2",3,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",8.62080951295118,"2",0,0,0,-0.500000,-0.866025,"7",19.56427,-99.25236
"278","Dentro CETRAM","male","45-64","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Trabajo","3",1,"5","Trolebus","Peseros","Van","Azteca","Mexipuerto","15",2.91746645407158,"7",0,0,0,-0.965926,-0.258819,"4",19.55112,-99.04908
"854","Fuera CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Azcapotzalco","1 to 2","Recreacion","3",4,"5","Metro","Taxi","Bus","El Rosario","El Rosario","35",0.0825128108513757,"1",14,3,16,-0.965926,0.258819,"1",19.50486,-99.20066
"583","Dentro CETRAM","female","18-24","Secundaria","Tecamec","Ecatepec de Morelos","None","Estudio","4",3,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",7.29653961722291,"2",9,6,6,-0.500000,-0.866025,"7",19.59838,-99.04366
"399","Fuera CETRAM","male","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Estudio","4",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",4.1661223775321,"5",0,0,0,-0.500000,-0.866025,"6",19.56845,-99.04443
"70","Dentro CETRAM","female","25-44","Secundaria","Ecatepec de Morelos","Ecatepec de Morelos","1 to 2","Otro","3",3,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",3.68338224474874,"5",0,0,0,-0.707107,-0.707107,"4",19.56209,-99.04703
"451","Dentro CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","None","Otro","4",4,"5","Taxi","Metro","Van","El Rosario","Mexico Nueva","15",8.7713498718364,"2",13,6,2,-0.258819,-0.965926,"2",19.56234,-99.25688
"293","Fuera CETRAM","male","25-44","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","1",4,"5","BRT","Peseros","Van","Azteca","Mexipuerto","15",19.0245044913145,"6",0,0,0,-0.866025,-0.500000,"5",19.51973,-99.20834
"200","Dentro CETRAM","female","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","2",2,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",11.3917510234159,"2",0,0,0,-0.965926,-0.258819,"6",19.63693,-99.03158
"444","Dentro CETRAM","male","18-24","Secundaria","Ecatepec de Morelos","Tecamec","None","Recreacion","4",3,"5","BRT","Taxi","Van","Azteca","Heroes Tecamec","15",3.29282351469215,"5",14,8,1,-0.258819,-0.965926,"1",19.55434,-99.05087
"620","Fuera CETRAM","female","18-24","Licenciatura","Atizapan de Zaragoza","Atizapan de Zaragoza","3 to 4","Trabajo","4",1,"5","Taxi","Peseros","Van","El Rosario","Mexico Nueva","15",4.21128838718137,"2",8,5,7,0.000000,-1.000000,"5",19.5335,-99.22581
"711","Dentro CETRAM","female","25-44","Preparatoria","Benito Juarez","Atizapan de Zaragoza","1 to 2","Compra","1",3,"5","BRT","Peseros","Van","El Rosario","Mexico Nueva","15",8.61303996504006,"5",5,5,10,-0.258819,-0.965926,"3",19.55334,-99.26376
"804","Fuera CETRAM","female","25-44","Preparatoria","Atizapan de Zaragoza","Atizapan de Zaragoza","3 to 4","Recreacion","2",3,"5","Taxi","Peseros","Bus","El Rosario","El Rosario","35",8.38565518143212,"5",27,1,13,-1.000000,-0.000000,"6",19.56271,-99.25084
"755","Fuera CETRAM","male","25-44","Licenciatura","Atizapan de Zaragoza","Benito Juarez","1 to 2","Recreacion","4",3,"4","Metro","Peseros","Van","El Rosario","El Rosario","15",6.46635936143455,"6",4,2,11,-0.965926,0.258819,"1",19.54946,-99.2391
"342","Dentro CETRAM","male","25-44","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","None","Compra","3",3,"5","Taxi","Peseros","Van","Azteca","Heroes Tecamec","15",3.82032227627169,"5",0,0,0,-0.258819,-0.965926,"5",19.56407,-99.04615
"43","Fuera CETRAM","male","45-64","Preparatoria","Atizapan de Zaragoza","Azcapotzalco","None","Trabajo","1",1,"5","Trolebus","Peseros","Van","El Rosario","El Rosario","15",5.67804154195391,"6",10,4,0,-0.500000,-0.866025,"4",19.54397,-99.23434
"195","Fuera CETRAM","female","0-17","Preparatoria","Tecamec","Tecamec","None","Otro","3",3,"5","Taxi","Trolebus","Van","Azteca","Heroes Tecamec","15",2.19347095091436,"9",0,0,0,-0.258819,-0.965926,"2",19.54759,-99.0432
"949","Fuera CETRAM","female","45-64","Primaria","Tlalnepantla de Baz","Atizapan de Zaragoza","None","Trabajo","3",4,"5","Metro","Peseros","Bus","El Rosario","Tacuba","35",1.6531175784772,"6",18,1,27,-0.500000,-0.866025,"4",19.51296,-99.21294
"419","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Azcapotzalco","1 to 2","Estudio","4",4,"5","Metro","Peseros","Bus","El Rosario","El Rosario","35",0.458285719019944,"2",0,0,0,-0.965926,-0.258819,"7",19.50633,-99.20389
"16","Fuera CETRAM","male","18-24","Preparatoria","Azcapotzalco","Atizapan de Zaragoza","None","Recreacion","2",3,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",1.99568640796932,"6",0,0,0,-0.500000,-0.866025,"5",19.52,-99.20956
"311","Fuera CETRAM","male","18-24","Licenciatura","Tecamec","Nezahualcoyotl","1 to 2","Otro","3",3,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",9.20995826632403,"5",0,0,0,-0.500000,-0.866025,"4",19.61168,-99.05954
"825","Fuera CETRAM","male","65+","Sin estudios","Ecatepec de Morelos","Tecamec","None","Otro","5",5,"5","Metro","Peseros","Van","Azteca","Heroes Tecamec","15",0.285397254052046,"2",2,1,13,0.000000,-1.000000,"6",19.53669,-99.02598
"475","Dentro CETRAM","female","18-24","Preparatoria","Ecatepec de Morelos","Ecatepec de Morelos","3 to 4","Otro","3",5,"5","Metro","Peseros","Van","Azteca","Mexipuerto","15",10.3030233726976,"6",12,9,3,-0.866025,-0.500000,"1",19.62719,-99.02538
"694","Fuera CETRAM","male","18-24","Preparatoria","Tecamec","Ecatepec de Morelos","None","Trabajo","1",1,"5","Taxi","Peseros","Van","Azteca","Mexipuerto","15",9.41967367475929,"2",6,4,9,-0.965926,-0.258819,"7",19.61926,-99.02632
"537","Dentro CETRAM","male","25-44","Secundaria","Nezahualcoyotl","Cuautitlan Izcalli","1 to 2","Recreacion","3",2,"5","Peseros","Peseros","Van","Azteca","Heroes Tecamec","15",1.75155615430026,"9",11,6,4,-0.258819,-0.965926,"1",19.54485,-99.04014
"242","Fuera CETRAM","female","25-44","Maestria y Doctorado","Azcapotzalco","Atizapan de Zaragoza","None","Trabajo","3",4,"5","BRT","Peseros","Bus","El Rosario","Mexico Nueva","35",0.0993683294324635,"1",0,0,0,0.000000,-1.000000,"2",19.50521,-99.20054
"921","Fuera CETRAM","male","18-24","Preparatoria","Atizapan de Zaragoza","Naucalpan de Juarez","None","Compra","4",2,"3","Trolebus","Peseros","Bus","El Rosario","El Rosario","35",0.486782261690335,"3",19,8,21,-0.500000,-0.866025,"3",19.50328,-99.20444
"774","Fuera CETRAM","female","25-44","Secundaria","Tlalnepantla de Baz","Tlalnepantla de Baz","1 to 2","Compra","3",4,"5","Taxi","Peseros","Bus","El Rosario","Mexico Nueva","35",0.0825128108513757,"1",18,4,12,-1.000000,-0.000000,"1",19.50486,-99.20066
